pair,range_expansion,extreme_upper,extreme_lower,consecutive_bars,bars,exhaustions,signals,n_long,n_short,signal_rate,win_rate,mean_return,sharpe,ic,ic_pval,reduction_ratio
USDJPY,0.8,0.8,0.25,3,2049,170,98,45,53,4.782820888238165,52.04081632653062,0.00017749020727286677,14.726659301890686,0.18566571773364118,0.0671956147247615,0.5764705882352941
USDJPY,0.8,0.8,0.25,4,2049,84,47,21,26,2.2938018545632017,48.93617021276596,9.707290016018936e-05,9.193083268212472,0.22716416287368768,0.12464231550591948,0.5595238095238095
USDJPY,0.8,0.8,0.2,2,2049,312,169,71,98,8.247925817471938,54.437869822485204,0.00021270175136517508,16.177007398268774,0.1833193913615712,0.017045784172403256,0.5416666666666666
USDJPY,0.8,0.8,0.2,3,2049,155,90,37,53,4.392386530014641,51.11111111111111,0.00015768436350838626,13.12487246362959,0.19688204898908718,0.06289581358454245,0.5806451612903226
USDJPY,0.8,0.8,0.2,4,2049,76,44,18,26,2.1473889702293802,50.0,8.262935569239294e-05,8.349031515280782,0.28758723576952744,0.05836767003848858,0.5789473684210527
USDJPY,0.8,0.8,0.15,2,2049,286,155,57,98,7.564665690580771,52.903225806451616,0.00020675293550526217,15.583548730393959,0.1746347612322484,0.029756613990124827,0.541958041958042
USDJPY,0.8,0.8,0.15,3,2049,145,83,30,53,4.050756466569058,49.39759036144578,0.00016649723347858492,13.989679046156464,0.2156328837644414,0.05025180250328576,0.5724137931034483
USDJPY,0.8,0.8,0.15,4,2049,71,40,14,26,1.9521717911176184,47.5,6.980605272307317e-05,7.63113506321693,0.3042361896999215,0.056305524776558764,0.5633802816901409
USDJPY,0.8,0.85,0.35,2,2049,370,221,140,81,10.785749145924841,55.65610859728507,0.0001701258561200897,13.425287176817818,0.10038775994306232,0.1368382484927947,0.5972972972972973
USDJPY,0.8,0.85,0.35,3,2049,173,106,66,40,5.1732552464616886,53.77358490566038,0.00011131853329564421,8.708118975802442,0.07378383160721749,0.45224995364793974,0.6127167630057804
USDJPY,0.8,0.85,0.35,4,2049,89,56,35,21,2.7330405075646658,51.78571428571429,4.2075789000740284e-05,3.941395614849902,0.03537262585700916,0.7957778172757586,0.6292134831460674
USDJPY,0.8,0.85,0.3,2,2049,343,198,117,81,9.66325036603221,55.55555555555556,0.00019438043037820293,14.888991125958523,0.1305663663513109,0.06673484069636801,0.577259475218659
USDJPY,0.8,0.85,0.3,3,2049,158,93,53,40,4.538799414348463,53.76344086021505,0.00014923289251169154,11.317684676196201,0.1286363167429162,0.21912475523777586,0.5886075949367089
USDJPY,0.8,0.85,0.3,4,2049,79,46,25,21,2.2449975597852614,50.0,4.985294907414052e-05,4.322017618377577,0.11670716800716956,0.43987294023728046,0.5822784810126582
USDJPY,0.8,0.85,0.25,2,2049,320,176,95,81,8.589555880917521,56.25,0.00022571832083884578,17.117059201181092,0.15964517483647153,0.034307884663748914,0.55
USDJPY,0.8,0.85,0.25,3,2049,150,85,45,40,4.148365056124939,54.11764705882353,0.00020300344910746524,16.16868779747807,0.1681146931861956,0.12405833822773013,0.5666666666666667
USDJPY,0.8,0.85,0.25,4,2049,75,42,21,21,2.049780380673499,50.0,0.0001048976791808524,9.480626144529316,0.18269039775228135,0.24685747716191558,0.56
USDJPY,0.8,0.85,0.2,2,2049,282,152,71,81,7.41825280624695,54.60526315789473,0.00021146856377059062,15.648264392604759,0.16093281071068916,0.04762896600991183,0.5390070921985816
USDJPY,0.8,0.85,0.2,3,2049,135,77,37,40,3.7579306979014153,53.246753246753244,0.00018250448801491383,14.516628042438988,0.18244548511064546,0.11225746096279052,0.5703703703703704
